"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","HTTP","",""
"pre_128cipher","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","",""
"SSLv3","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","",""
"TLS1","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not offered","",""
"TLS1_1","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not offered","",""
"TLS1_2","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","offered","",""
"TLS1_3","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","offered with final","",""
"ALPN_HTTP2","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","h2","",""
"ALPN","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","http/1.1","",""
"cipherlist_NULL","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not offered","",""
"cipherlist_STRONG_FS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","offered","",""
"cipher_order-tls1_2","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","NOT a cipher order configured","",""
"FS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","offered","",""
"FS_ciphers","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","yes","",""
"sessionresumption_ticket","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not supported","",""
"sessionresumption_ID","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","supported","",""
"TLS_timestamp","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","random","",""
"certificate_compression","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","none","",""
"clientAuth","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","none","",""
"cert_numbers","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","1","",""
"cert_signatureAlgorithm","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","SHA256 with RSA","",""
"cert_keySize","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","03616CA26EE686F47A80788200E110602EC3","",""
"cert_serialNumberLen","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","18","",""
"cert_fingerprintSHA1","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","16542348C8124A40A0AE0D8C2479FCD667461544","",""
"cert_fingerprintSHA256","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","16E077826CB4CDFB8C3E4FABD331C9897D40F998513423384B4AAC0E7E617A9D","",""
"cert","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFDzCCA/egAwIBAgISA2Fsom7mhvR6gHiCAOEQYC7DMA0GCSqGSIb3DQEBCwUAMDMxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQwwCgYDVQQDEwNSMTEwHhcNMjUwMTAyMjEwMTQ5WhcNMjUwNDAyMjEwMTQ4WjArMSkwJwYDVQQDEyB3d3cueXZldG90LW5vcm1hbmRpZS10b3VyaXNtZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAJyebcb9N3HktU/PCC/S6vgz+4IYbjLH9Iyb6GEXv1AImiSNytXpTCJ6RNTdmaOYR20aofNcs7RkuDD5UfIMIkemPYfy+7Nv+W1c4rGWsAi/cTlakE7Pa8tKqEkRAjpVg9vhKgHCkCyUnZmSdzzyGxoVGOUZOx8xQr3NaFwqHCbXdRdmoBToYSftryP6r6HABAwNvngJ5X4oHlHL8ubarH6COFKoC9fcFCOtGOGn+EXcrelTQjMHqbodPIl3pLbRXAN8BFG2SJ6+MQT7i2qxoZKhccK1RXv48jQeERU5dJ7wgHB/XBcuDsarV0qUI0ecyUzmS68Z+Orvu6FqU/mFl5ECAwEAAaOCAiMwggIfMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUpx9+td/kDnALhq98183FZmrJIr8wHwYDVR0jBBgwFoAUxc9GpOr0w8B6bJXELbBeki8m47kwVwYIKwYBBQUHAQEESzBJMCIGCCsGAQUFBzABhhZodHRwOi8vcjExLm8ubGVuY3Iub3JnMCMGCCsGAQUFBzAChhdodHRwOi8vcjExLmkubGVuY3Iub3JnLzArBgNVHREEJDAigiB3d3cueXZldG90LW5vcm1hbmRpZS10b3VyaXNtZS5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQMGCisGAQQB1nkCBAIEgfQEgfEA7wB2AKLjCuRF772tm3447Udnd1PXgluElNcrXhssxLlQpEfnAAABlCkIofkAAAQDAEcwRQIhAM1GIcuWrd8rrRVuC3hfUDt2y5YjX5NUG18muiccSmA1AiBGxcKNjIJ2n6jqjk2AeQ2vCKmY+NiVWcBD2SOzlMqzcwB1AMz7D2qFcQll/pWbU87psnwi6YVcDZeNtql+VMD+TA2wAAABlCkIog8AAAQDAEYwRAIgWPtGdnq8NJsNQ6FceNx4bhnK95jWXzHHfX5wlgSk7ywCIC6cfQcm5pTUeM2/aMU32PoARZ5tiTnfhMWy+nJ9Ckv/MA0GCSqGSIb3DQEBCwUAA4IBAQCy180WNhFJBsT++B5uKLwxx9AxZzuzQd2oRnSqFHcHKdPl4FxNcndLjO/f902pHpCBOxF1SYJFt9047C43W/CWIc+WNfdZW2+BinAAje94et3zzEy0l8GdwxTiQyd7rOHJtzgaWwVBUtlbe5FSiurzmoCIlRK45l4S8LZVsfMora3OMgRhQJLOwlcuM9cOAUFI3471dTDTthWhZ+Q33v1fb6nD2focB0grgq3TTxDp7XkcAAgLZUsM4HHiZWFzX1We+bGDWUgUYpV5chwvzxHZvmjFXueWaxO7sGoI3FheBgnNk/030348dETXSzXxz6R5zJNARo8KdvxB33XCV9x0\n-----END CERTIFICATE-----","",""
"cert_commonName","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","www.yvetot-normandie-tourisme.fr","",""
"cert_commonName_wo_SNI","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","preview.infomaniak.website","",""
"cert_subjectAltName","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","www.yvetot-normandie-tourisme.fr","",""
"cert_trust","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","no","",""
"cert_expirationStatus","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","73 >= 30 days","",""
"cert_notBefore","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","2025-01-02 21:01","",""
"cert_notAfter","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","2025-04-02 21:01","",""
"cert_extlifeSpan","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","not present","",""
"cert_crlDistributionPoints","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","--","",""
"cert_ocspURL","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","http://r11.o.lencr.org","",""
"OCSP_stapling","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","LOW","not offered","",""
"cert_mustStapleExtension","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","--","",""
"DNS_CAArecord","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","LOW","--","",""
"certificate_transparency","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","OK","yes (certificate extension)","",""
"certs_countServer","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","2","",""
"certs_list_ordering_problem","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","no","",""
"cert_caIssuers","www.yvetot-normandie-tourisme.fr/185.177.62.138","443","INFO","R11 (Let's Encrypt from US)","",""
